model,account.payment.term,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,name,char,,Payment Terms
4,__last_update,datetime,,Last Modified on
5,company_id,many2one,res.company,Company
6,write_uid,many2one,res.users,Last Updated by
7,note,text,,Description on the Invoice
8,write_date,datetime,,Last Updated on
9,line_ids,one2many,account.payment.term.line,Terms
10,active,boolean,,Active
11,create_date,datetime,,Created on
12,id,integer,,ID
,,,,
,,,,
,,,,
