model,product.pricelist,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,code,char,,E-commerce Promotional Code
3,display_name,char,,Display Name
4,name,char,,Pricelist Name
5,item_ids,one2many,product.pricelist.item,Pricelist Items
6,__last_update,datetime,,Last Modified on
7,sequence,integer,,Sequence
8,website_id,many2one,website,website
9,company_id,many2one,res.company,Company
10,discount_policy,selection,,Discount policy
11,currency_id,many2one,res.currency,Currency
12,country_group_ids,many2many,res.country.group,Country Groups
13,write_date,datetime,,Last Updated on
14,active,boolean,,Active
15,create_date,datetime,,Created on
16,selectable,boolean,,Selectable
17,write_uid,many2one,res.users,Last Updated by
18,id,integer,,ID
,,,,
19,rebrand_ok,boolean,,Pricelist for Rebrand Products
,,,,
,,,,
