model,ir.actions.act_window.view,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,multi,boolean,,On Multiple Doc.
3,display_name,char,,Display Name
4,__last_update,datetime,,Last Modified on
5,view_id,many2one,ir.ui.view,View
6,sequence,integer,,Sequence
7,write_uid,many2one,res.users,Last Updated by
8,view_mode,selection,,View Type
9,write_date,datetime,,Last Updated on
10,act_window_id,many2one,ir.actions.act_window,Action
11,create_date,datetime,,Created on
12,id,integer,,ID
,,,,
,,,,
,,,,
